route,point,ordinal_date_1,ordinal_date_2,ordinal_date_3,min_sun_1,min_sun_2,min_sun_3,y_1,y_2,y_3,cars_1,cars_2,cars_3,wind_1,wind_2,wind_3,temp_1,temp_2,temp_3,lat,long,canopy
lewi,07,-0.702870400843767,0.35219753274383947,0.945673245386868,0.3785045391150319,-1.2266787184004282,0.505900035743243,0,0,1,-0.719153427441943,-0.719153427441943,-0.719153427441943,0.2344676189255524,-0.8437866336776528,-0.07360502467536333,-0.21354628503780418,0.4854793972997553,0.3456742608322439,32.583594,-87.470462,-0.3109010861351318
lewi,08,-0.702870400843767,0.35219753274383947,0.945673245386868,0.6715141813599175,-0.9336690761555426,0.7989096779881286,0,0,0,-0.11617987519255944,-0.4176666513172512,0.18530690093213234,0.3885039407260104,-0.8437866336776528,-0.38167766827627914,-0.14364371680404847,0.6602358178841452,0.7301383861179009,32.589492,-87.462052,-1.0957458268502815
lewi,09,-0.702870400843767,0.35219753274383947,0.945673245386868,0.9772633732676241,-0.640659433910657,1.1046588698958353,0,0,0,-0.11617987519255944,0.18530690093213234,-0.4176666513172512,0.8506129061273842,-0.8437866336776528,0.8506129061273842,-0.14364371680404847,0.555381965533511,0.5903332496503895,32.594843,-87.452906,-0.5547949414229351
lewi,10,-0.702870400843767,0.35219753274383947,0.945673245386868,1.2447939161868675,-0.3476497916657715,1.3721894128150787,0,0,0,-0.4176666513172512,-0.11617987519255944,-0.11617987519255944,0.2344676189255524,0.08043129712509453,1.9288671587305892,0.9398460908191693,0.45052811318287683,0.8000409543516566,32.595412,-87.442316,-1.2737698749354962
lewi,11,-0.702870400843767,0.35219753274383947,0.945673245386868,1.5760222074202164,0.009057598893219629,1.6651990550599645,0,0,0,0.18530690093213234,-0.4176666513172512,-0.4176666513172512,0.3885039407260104,-0.8437866336776528,2.0829034805310473,0.06606398789721987,1.1495537955204365,0.6602358178841452,32.607157,-87.436358,-0.8115689422165634
lewi,12,-0.702870400843767,0.35219753274383947,0.945673245386868,1.8180736510138178,0.31480679080092633,1.95820869730485,0,0,0,0.18530690093213234,-0.4176666513172512,0.18530690093213234,-0.8437866336776528,-0.8437866336776528,0.8506129061273842,0.555381965533511,1.289358931987949,1.1146025114035591,32.608925,-87.425153,-0.21280866525203107
mari,06,-1.4941713510344719,0.08843054934693786,1.0116149912360934,1.7798550020253543,-1.5324279103081349,-1.545167459970956,0,1,0,5.913555647301277,-0.4176666513172512,0.18530690093213234,0.08043129712509453,-0.8437866336776528,0.2344676189255524,1.4291640684554605,-0.49315655797282826,-0.10869243268717001,32.572062,-87.294879,1.3579370053889441
mari,07,-1.4941713510344719,0.08843054934693786,1.0116149912360934,1.512324459106111,-1.2521578177260704,-1.2648973673888915,0,1,1,2.597201109929667,-0.719153427441943,0.18530690093213234,-0.22764134647582118,-0.8437866336776528,-0.8437866336776528,1.6388717731567288,-0.9125719673753637,0.3107229767153655,32.56598,-87.286707,1.5883502454959812
mari,08,-1.4941713510344719,0.08843054934693786,1.0116149912360934,1.193835717535583,-0.971887725144006,-0.9464086258183637,0,1,1,7.722476304049428,-0.11617987519255944,-0.11617987519255944,1.4667581933292155,-0.8437866336776528,0.08043129712509453,0.9048948067022908,-0.9125719673753637,-0.49315655797282826,32.559271,-87.279551,0.037133344079920284
mari,09,-1.4941713510344719,0.08843054934693786,1.0116149912360934,0.8753469759650553,-0.6916176325619415,-0.640659433910657,0,0,0,5.612068871176585,2.295714333804975,-0.11617987519255944,1.3127218715287576,-0.8437866336776528,-0.8437866336776528,0.6602358178841452,-0.4232539897390725,0.1010152720140971,32.55209,-87.272188,1.1937555411602834
